"Species_name","User_Tree_id","flon_week","flon_week_sd","n.fl","spname"
"Artocarpus heterophyllus",7767,76.1538461538461,NA,1,"jackfruit"
"Artocarpus heterophyllus",7768,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",7807,69.2307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",7919,145.384615384615,NA,1,"jackfruit"
"Artocarpus heterophyllus",7921,145.384615384615,NA,1,"jackfruit"
"Artocarpus heterophyllus",7937,138.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",7972,72.6923076923077,63.6396103067893,2,"jackfruit"
"Artocarpus heterophyllus",7983,48.4615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",7995,103.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",8137,207.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",8170,155.769230769231,83.2210288627245,2,"jackfruit"
"Artocarpus heterophyllus",8197,96.9230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",8216,115.961538461538,58.0259582800623,4,"jackfruit"
"Artocarpus heterophyllus",8221,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",8233,143.076923076923,47.2936189198135,6,"jackfruit"
"Artocarpus heterophyllus",8250,159.230769230769,78.3256742237406,2,"jackfruit"
"Artocarpus heterophyllus",8277,103.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",8283,103.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",8298,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",8311,200.769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",8313,180,NA,1,"jackfruit"
"Artocarpus heterophyllus",8330,96.9230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",8419,20.7692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",8442,117.692307692308,47.4622241566226,5,"jackfruit"
"Artocarpus heterophyllus",8456,141.923076923077,35.7729526599613,6,"jackfruit"
"Artocarpus heterophyllus",8464,143.076923076923,30.2298884193467,6,"jackfruit"
"Artocarpus heterophyllus",8509,90,NA,1,"jackfruit"
"Artocarpus heterophyllus",8529,114.230769230769,53.8489010288217,2,"jackfruit"
"Artocarpus heterophyllus",8540,117.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",8559,41.5384615384615,NA,1,"jackfruit"
"Artocarpus heterophyllus",8628,131.538461538462,39.1628371118703,2,"jackfruit"
"Artocarpus heterophyllus",8629,231.923076923077,14.6860639169514,2,"jackfruit"
"Artocarpus heterophyllus",8643,122.307692307692,58.8800807177219,3,"jackfruit"
"Artocarpus heterophyllus",8644,115.384615384615,59.6885407217426,3,"jackfruit"
"Artocarpus heterophyllus",8646,92.3076923076923,63.9526452025432,3,"jackfruit"
"Artocarpus heterophyllus",8647,73.8461538461539,40.5655288413391,3,"jackfruit"
"Artocarpus heterophyllus",8658,152.307692307692,40.7619732292055,4,"jackfruit"
"Artocarpus heterophyllus",8660,228.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",8663,138.461538461538,39.1628371118703,2,"jackfruit"
"Artocarpus heterophyllus",8711,205.384615384615,40.5655288413391,3,"jackfruit"
"Artocarpus heterophyllus",8739,110.769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",8748,110.769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",8755,76.1538461538461,NA,1,"jackfruit"
"Artocarpus heterophyllus",8756,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",8758,110.769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",8772,96.9230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",8778,193.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",8788,69.2307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",8801,69.2307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",8823,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",8824,131.538461538462,48.9535463898379,2,"jackfruit"
"Artocarpus heterophyllus",8859,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",8913,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",8916,166.153846153846,29.3721278339028,2,"jackfruit"
"Artocarpus heterophyllus",8959,211.153846153846,132.174575252562,2,"jackfruit"
"Artocarpus heterophyllus",8962,135,14.6860639169513,2,"jackfruit"
"Artocarpus heterophyllus",9021,173.076923076923,244.76773194919,2,"jackfruit"
"Artocarpus heterophyllus",9053,228.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",9075,138.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",9077,228.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",9109,200.769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",9125,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",9126,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",9138,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",9142,214.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",9158,180,137.069929891546,2,"jackfruit"
"Artocarpus heterophyllus",9175,270,NA,1,"jackfruit"
"Artocarpus heterophyllus",9190,186.923076923077,NA,1,"jackfruit"
"Artocarpus heterophyllus",9251,173.076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",9292,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",9355,69.2307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",9424,69.2307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",9425,62.3076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",9431,69.2307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",9432,48.4615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",9433,55.3846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",9454,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",9458,175.384615384615,58.0603644249652,3,"jackfruit"
"Artocarpus heterophyllus",9471,156.923076923077,3.99704032515894,3,"jackfruit"
"Artocarpus heterophyllus",9475,184.615384615385,24.3130471219679,3,"jackfruit"
"Artocarpus heterophyllus",9501,180,NA,1,"jackfruit"
"Artocarpus heterophyllus",9515,117.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",9681,207.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",9801,34.6153846153846,48.9535463898379,2,"jackfruit"
"Artocarpus heterophyllus",9981,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",10052,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10058,138.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",10090,173.076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",10092,126.346153846154,31.1538461538461,4,"jackfruit"
"Artocarpus heterophyllus",10094,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10095,121.153846153846,40.9574754214589,4,"jackfruit"
"Artocarpus heterophyllus",10107,121.153846153846,40.9574754214589,4,"jackfruit"
"Artocarpus heterophyllus",10108,149.538461538462,45.5557399653104,5,"jackfruit"
"Artocarpus heterophyllus",10113,126.346153846154,31.1538461538461,4,"jackfruit"
"Artocarpus heterophyllus",10116,124.615384615385,18.3167398458318,3,"jackfruit"
"Artocarpus heterophyllus",10117,120,34.8453897012496,3,"jackfruit"
"Artocarpus heterophyllus",10118,140.192307692308,51.9230769230769,4,"jackfruit"
"Artocarpus heterophyllus",10119,109.038461538462,34.5576441504737,4,"jackfruit"
"Artocarpus heterophyllus",10121,93.4615384615385,39.7700490914171,4,"jackfruit"
"Artocarpus heterophyllus",10123,145.384615384615,31.725524042002,3,"jackfruit"
"Artocarpus heterophyllus",10143,188.653846153846,92.4302071579755,4,"jackfruit"
"Artocarpus heterophyllus",10144,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10148,103.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",10150,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10159,124.615384615385,18.3167398458318,3,"jackfruit"
"Artocarpus heterophyllus",10189,156.923076923077,73.3759065950061,3,"jackfruit"
"Artocarpus heterophyllus",10197,117.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",10207,99.2307692307692,52.8758734033366,3,"jackfruit"
"Artocarpus heterophyllus",10209,117.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",10215,159.230769230769,90.2658794566521,4,"jackfruit"
"Artocarpus heterophyllus",10219,145.384615384615,NA,1,"jackfruit"
"Artocarpus heterophyllus",10299,103.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",10322,193.846153846154,9.79070927796758,2,"jackfruit"
"Artocarpus heterophyllus",10355,133.846153846154,56.3851925670952,3,"jackfruit"
"Artocarpus heterophyllus",10356,145.384615384615,NA,1,"jackfruit"
"Artocarpus heterophyllus",10357,117.692307692308,NA,1,"jackfruit"
"Artocarpus heterophyllus",10359,135,14.6860639169513,2,"jackfruit"
"Artocarpus heterophyllus",10364,135,14.6860639169513,2,"jackfruit"
"Artocarpus heterophyllus",10376,147.692307692308,62.435765808317,3,"jackfruit"
"Artocarpus heterophyllus",10378,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",10407,159.230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",10417,186.923076923077,NA,1,"jackfruit"
"Artocarpus heterophyllus",10450,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10509,124.615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10546,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",10585,145.384615384615,58.7442556678055,2,"jackfruit"
"Artocarpus heterophyllus",10598,155.769230769231,4.89535463898378,2,"jackfruit"
"Artocarpus heterophyllus",10602,110.769230769231,45.3976513220908,3,"jackfruit"
"Artocarpus heterophyllus",10609,48.4615384615385,NA,1,"jackfruit"
"Artocarpus heterophyllus",10615,115.384615384615,42.3006987226693,3,"jackfruit"
"Artocarpus heterophyllus",10625,140.192307692308,108.049544848703,4,"jackfruit"
"Artocarpus heterophyllus",10629,186.923076923077,NA,1,"jackfruit"
"Artocarpus heterophyllus",10637,191.538461538462,34.1507275083432,3,"jackfruit"
"Artocarpus heterophyllus",10658,155.769230769231,34.2674824728865,2,"jackfruit"
"Artocarpus heterophyllus",10748,124.615384615385,47.9644839019074,3,"jackfruit"
"Artocarpus heterophyllus",10768,90,NA,1,"jackfruit"
"Artocarpus heterophyllus",10803,120,10.5751746806673,3,"jackfruit"
"Artocarpus heterophyllus",10817,126.346153846154,49.0757776572386,4,"jackfruit"
"Artocarpus heterophyllus",10841,94.6153846153846,17.4226948506248,3,"jackfruit"
"Artocarpus heterophyllus",10901,55.3846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",10908,186.923076923077,NA,1,"jackfruit"
"Artocarpus heterophyllus",10916,140.769230769231,24.3130471219679,3,"jackfruit"
"Artocarpus heterophyllus",10917,154.615384615385,17.4226948506248,3,"jackfruit"
"Artocarpus heterophyllus",10918,131.538461538462,187.435195901735,3,"jackfruit"
"Artocarpus heterophyllus",10919,31.1538461538462,44.0581917508541,2,"jackfruit"
"Artocarpus heterophyllus",10920,145.384615384615,38.5460609734386,3,"jackfruit"
"Artocarpus heterophyllus",10921,131.538461538462,9.79070927796756,2,"jackfruit"
